Image,Length,Breadth,Total Pixels,Damage Pixels,Damage Area,x centroid,y centroid,x deviation,y deviation
DSC00228.JPG.png,954,318,244286,69219,28.33523001727483,161.29494791892398,207.39042748378336,76.09606936895307,100.48741365780158
DSC01529.JPG.png,1015,344,275496,89283,32.40809303946337,178.999977599319,229.40142020317418,75.52801503166596,107.32129617593013
DSC01900.JPG.png,1025,364,278710,57075,20.47827490940404,208.34267192290847,636.0477091546211,116.64958107963352,135.20536324869965
DSC01902.JPG.png,1020,349,274068,108364,39.53909248799568,183.06862057509875,498.5208371783987,100.74512288057288,103.49996633949634
DSC01903.JPG.png,969,334,242016,72289,29.869512759486977,120.89903028123227,253.76382298828315,62.26233157857302,98.00920487696983
DSC01912.JPG.png,927,307,213163,113754,53.36479595426974,139.5512509450217,372.7432705663098,76.93256743192867,126.26397173865922
DSC01925.JPG.png,976,359,286565,66904,23.34688465095179,210.1391845031687,843.4861293794092,91.31315944220607,71.01414847669712
DSC01942.JPG.png,922,356,246843,193258,78.29186973096259,186.88085357397884,397.9048991503586,89.55740891652663,181.70009744445136
DSC01948.JPG.png,1024,358,291736,65361,22.404159925412017,151.37422928045777,754.8112482979146,75.573113117028,93.37318190371496
DSC01954.JPG.png,1028,343,273819,149226,54.49804432855281,180.70360392961013,345.20582874298043,89.05016909008071,148.9791550829548
DSC01962.JPG.png,984,354,273167,64061,23.451222146159676,173.7966469458797,692.585566881566,83.22571438452596,88.16657531432128
DSC01974.JPG.png,1053,367,309501,82311,26.594744443475143,129.0071679362418,444.7945596578829,74.51180663279496,205.15200058540088
DSC01976.JPG.png,923,315,225022,84127,37.38612224582486,129.2247197689208,236.18594505925566,73.6202225915136,104.20794171486263
DSC02099.JPG.png,957,317,233044,87883,37.71090437857229,110.32764015793725,374.43825313200506,75.10796328139921,152.62834281840352
DSC02240.JPG.png,1004,349,266598,30431,11.41456425029445,239.23449771614472,549.2169498209063,78.19730553977361,118.66357649072462
DSC02249.JPG.png,909,314,213670,73239,34.276688351195766,106.00628080667404,497.25710345580904,62.84113413405324,157.94670676474314
DSC02329.JPG.png,1021,342,273864,59222,21.62460199222972,238.56750869609266,700.0631015500996,61.254516525803375,81.69226920555938
DSC02391.JPG.png,929,316,228783,76241,33.32459142506218,104.90696606812607,428.25189858475096,56.87450360716012,115.75193724322773
DSC02779.JPG.png,977,369,285696,82261,28.793192764336915,225.1221477978629,263.31214062556984,80.83159539380935,121.42240424415158
DSC06136 (2).JPG.png,938,376,254098,38918,15.316137868066651,111.81602343388663,588.4936533223702,54.18836183345837,103.10814632432805
